,title,release_year,age_rating,runtime,rating,metascore,director,votes,gross
846,The Psychic,1977,R,90,6.9,-1,Lucio Fulci,4424,-1
847,Captain Kronos: Vampire Hunter,1974,R,91,6.5,-1,Brian Clemens,4380,-1
848,Frankenstein Created Woman,1967,Unrated,92,6.6,-1,Terence Fisher,4364,-1
849,Student Bodies,1981,R,86,5.6,41,Mickey Rose,4350,5165432
850,Two Thousand Maniacs!,1964,Not Rated,83,5.9,-1,Herschell Gordon Lewis,4337,-1
851,Bloody Birthday,1981,R,85,5.8,49,Ed Hunt,4322,-1
852,Slugs,1988,R,89,5.2,-1,Juan Piquer Simón,4321,-1
853,The Beast,1975,Not Rated,98,5.7,-1,Walerian Borowczyk,4301,-1
854,Mother's Day,1980,Unrated,91,5.4,-1,Charles Kaufman,4285,-1
855,Frankenstein Must Be Destroyed,1969,PG-13,101,6.8,-1,Terence Fisher,4275,100437
856,Las Vampiras,1971,Unrated,89,5.5,-1,Jesús Franco,4265,-1
857,The Skeleton Dance,1929,Approved,6,7.7,-1,Walt Disney,4255,-1
858,Curtains,1983,R,89,5.7,-1,Richard Ciupka,4213,-1
859,Blood Diner,1987,Unrated,88,5.3,-1,Jackie Kong,4183,-1
860,The Deadly Spawn,1983,R,81,6.0,-1,Douglas McKeown,4159,-1
861,Home Movie,2008,R,77,5.6,-1,Christopher Denham,4153,-1
862,Children Shouldn't Play with Dead Things,1972,PG,87,5.4,47,Bob Clark,4112,-1
863,From Beyond the Grave,1974,PG,97,6.7,-1,Kevin Connor,4084,-1
864,Lisa and the Devil,1973,Not Rated,95,6.4,-1,Mario Bava,4079,-1
865,In a Glass Cage,1986,Unrated,110,6.8,-1,Agustí Villaronga,4060,-1
866,Wendigo,2001,R,91,5.0,63,Larry Fessenden,4036,100319
867,The Devil-Doll,1936,Passed,78,7.0,-1,Tod Browning,4025,-1
868,Isle of the Dead,1945,Not Rated,71,6.6,-1,Mark Robson,4022,-1
869,Drácula,1931,Unrated,104,7.2,-1,George Melford,4021,-1
870,Popcorn,1991,R,91,5.9,51,Mark Herrier,4013,4205000
871,Scream of Fear,1961,Approved,81,7.4,-1,Seth Holt,4004,-1
872,The Strange Vice of Mrs. Wardh,1971,R,81,7.0,-1,Sergio Martino,3989,-1
873,The Evil Eye,1963,Not Rated,86,7.1,-1,Mario Bava,3975,-1
874,Pin,1988,R,103,6.6,-1,Sandor Stern,3905,-1
875,Raw Meat,1972,Unrated,87,6.0,-1,Gary Sherman,3887,-1
876,"Silent Night, Bloody Night",1972,R,81,5.6,-1,Theodore Gershuny,3870,-1
877,Murders in the Rue Morgue,1932,Passed,61,6.4,-1,Robert Florey,3853,-1
878,Don't Go in the House,1979,R,82,5.7,-1,Joseph Ellison,3841,-1
879,The Shout,1978,86 min,86,6.7,-1,Jerzy Skolimowski,3817,-1
880,Willard,1971,GP,95,6.2,49,Daniel Mann,3749,19216000
881,Frankenstein,1910,Unrated,16,6.4,-1,J. Searle Dawley,3722,-1
882,Countess Dracula,1971,PG,93,6.0,-1,Peter Sasdy,3699,-1
883,Vampire Circus,1972,PG,84,6.4,-1,Robert Young,3684,-1
884,Maléfique,2002,Not Rated,90,6.3,-1,Eric Valette,3673,-1
885,Premature Burial,1962,Unrated,81,6.5,-1,Roger Corman,3672,-1
886,Ebola Syndrome,1996,Not Rated,98,6.5,-1,Herman Yau,3559,-1
887,The Beast Within,1982,R,98,5.6,-1,Philippe Mora,3536,7742572
888,La cabina,1972,35 min,35,7.9,-1,Antonio Mercero,3516,-1
889,Bedlam,1946,Approved,79,6.8,-1,Mark Robson,3516,-1
890,The Housemaid,1960,Not Rated,109,7.3,-1,Ki-young Kim,3503,-1
891,Mr. Vampire,1985,PG-13,96,7.4,-1,Ricky Lau,3491,-1
892,Jigoku,1960,Not Rated,101,6.8,-1,Nobuo Nakagawa,3485,-1
893,The Fall of the House of Usher,1928,Not Rated,63,7.3,-1,Jean Epstein,3485,-1
894,Lunacy,2005,Not Rated,118,7.3,63,Jan Svankmajer,3466,47957
895,The Toolbox Murders,1978,R,93,5.3,-1,Dennis Donnelly,3459,-1
896,Ghostwatch,1992,Not Rated,91,7.6,-1,Lesley Manning,3457,-1
897,Fiend Without a Face,1958,Not Rated,74,6.2,-1,Arthur Crabtree,3452,-1
898,Quatermass 2,1957,Approved,85,6.9,-1,Val Guest,3450,-1
899,Scream and Scream Again,1970,R,95,5.6,-1,Gordon Hessler,3433,376600
900,The Eight Immortals Restaurant: The Untold Story,1993,Unrated,96,6.9,-1,Danny Lee,3404,-1
901,The Whip and the Body,1963,Not Rated,87,6.8,-1,Mario Bava,3401,-1
902,Frankenstein and the Monster from Hell,1974,R,93,6.3,-1,Terence Fisher,3394,-1
903,Tutti i colori del buio,1972,R,87,6.7,-1,Sergio Martino,3360,-1
904,Anguish,1987,R,89,6.7,-1,Bigas Luna,3351,228789
905,Shock,1977,R,93,6.3,-1,Mario Bava,3350,-1
906,Il rosso segno della follia,1970,GP,88,6.4,-1,Mario Bava,3330,-1
907,Wild Zero,1999,Not Rated,98,6.4,-1,Tetsuro Takeuchi,3326,-1
908,Your Vice Is a Locked Room and Only I Have the Key,1972,Not Rated,97,6.8,-1,Sergio Martino,3287,-1
909,I Drink Your Blood,1970,R,83,6.0,-1,David E. Durston,3265,-1
910,The Wizard of Gore,1970,Not Rated,95,5.4,-1,Herschell Gordon Lewis,3260,23500
911,The Reptile,1966,Unrated,90,6.2,-1,John Gilling,3231,-1
912,Messiah of Evil,1973,R,90,6.5,-1,Willard Huyck,3186,-1
913,The Lodger,1944,Approved,84,7.1,-1,John Brahm,3173,-1
914,Vampyres,1974,R,87,6.1,-1,José Ramón Larraz,3120,-1
915,The Ghost Breakers,1940,Passed,85,7.2,-1,George Marshall,3097,-1
916,"Burn, Witch, Burn",1962,Not Rated,90,6.9,73,Sidney Hayers,3035,-1
917,Patrick,1978,PG,96,6.1,-1,Richard Franklin,2987,-1
918,And Soon the Darkness,1970,GP,94,6.6,-1,Robert Fuest,2987,-1
919,Mark of the Devil,1970,R,90,6.2,-1,Michael Armstrong,2977,-1
920,Alucarda,1977,R,78,6.3,-1,Juan López Moctezuma,2974,-1
921,Lady in a Cage,1964,Not Rated,94,6.8,-1,Walter Grauman,2964,1850000
922,The House That Screamed,1969,GP,94,6.9,-1,Narciso Ibáñez Serrador,2963,-1
923,At Midnight I'll Take Your Soul,1964,84 min,84,7.0,-1,José Mojica Marins,2961,-1
924,Blind Beast,1969,86 min,86,7.2,-1,Yasuzô Masumura,2956,-1
925,Kurutta ippêji,1926,70 min,70,7.4,-1,Teinosuke Kinugasa,2926,-1
926,Homicidal,1961,Unrated,88,6.8,-1,William Castle,2876,-1
927,Mother Joan of the Angels,1961,110 min,110,7.6,-1,Jerzy Kawalerowicz,2866,-1
928,Doctor X,1932,Unrated,76,6.4,-1,Michael Curtiz,2849,-1
929,The Kiss of the Vampire,1963,Unrated,88,6.3,-1,Don Sharp,2831,-1
930,La corta notte delle bambole di vetro,1971,Not Rated,97,6.7,-1,Aldo Lado,2749,-1
931,The Cat and the Canary,1927,Passed,108,7.1,-1,Paul Leni,2727,325550
932,Matango,1963,Unrated,89,6.5,-1,Ishirô Honda,2705,-1
933,The Cat and the Canary,1939,Approved,72,7.2,-1,Elliott Nugent,2705,-1
934,House of Dark Shadows,1970,PG,97,6.4,-1,Dan Curtis,2683,4002480
935,The Haunted House,1921,Unrated,21,7.0,-1,Edward F. Cline,2678,-1
936,Mr. Sardonicus,1961,Approved,89,6.7,-1,William Castle,2637,-1
937,Body Melt,1993,AO,81,5.3,-1,Philip Brophy,2630,-1
938,Fascination,1979,Not Rated,80,6.1,-1,Jean Rollin,2512,-1
939,Hangover Square,1945,Approved,77,7.4,-1,John Brahm,2512,-1
940,I Bury the Living,1958,Unrated,77,6.3,-1,Albert Band,2499,-1
941,Blue Sunshine,1977,R,94,6.0,-1,Jeff Lieberman,2473,-1
942,The Hands of Orlac,1924,Not Rated,92,7.0,-1,Robert Wiene,2463,-1
943,Dr Jekyll & Sister Hyde,1971,PG,94,6.6,-1,Roy Ward Baker,2458,202800
944,The Death Wheelers,1973,PG,85,5.8,-1,Don Sharp,2443,-1
945,The Beast with Five Fingers,1946,Passed,88,6.6,-1,Robert Florey,2398,-1
946,The Ghoul,1933,Not Rated,77,5.9,-1,T. Hayes Hunter,2383,-1
947,The Pit,1981,R,96,5.8,-1,Lew Lehman,2378,-1
948,Haze,2005,Not Rated,49,6.6,-1,Shin'ya Tsukamoto,2371,-1
949,The Sect,1991,R,125,6.2,-1,Michele Soavi,2367,-1
950,I Was a Teenage Werewolf,1957,Approved,76,5.2,-1,Gene Fowler Jr.,2322,2000000
951,"Count Yorga, Vampire",1970,PG-13,93,5.8,-1,Bob Kelljan,2283,212560
952,The Sadist,1963,Unrated,92,6.7,-1,James Landis,2272,-1
953,The Living and the Dead,2006,Not Rated,83,5.9,-1,Simon Rumley,2255,-1
954,Evil Dead Trap,1988,102 min,102,6.2,-1,Toshiharu Ikeda,2251,-1
955,Die! Die! My Darling!,1965,Not Rated,97,6.4,-1,Silvio Narizzano,2232,-1
956,Il profumo della signora in nero,1974,Not Rated,103,6.7,-1,Francesco Barilli,2228,-1
957,The Asphyx,1972,PG,83,6.3,-1,Peter Newbrook,2209,-1
958,Les raisins de la mort,1978,R,85,6.2,-1,Jean Rollin,2123,-1
959,Frightmare,1974,R,88,6.3,-1,Pete Walker,2114,-1
960,Don't Deliver Us from Evil,1971,Unrated,102,6.8,-1,Joël Séria,2096,-1
961,Castle of Blood,1964,Not Rated,87,6.9,-1,Antonio Margheriti,2076,-1
962,The Penalty,1920,Passed,90,7.4,-1,Wallace Worsley,2062,-1
963,Lemora: A Child's Tale of the Supernatural,1973,PG,80,6.3,49,Richard Blackburn,2004,-1
964,Outer Space,1999,Not Rated,10,7.1,-1,Peter Tscherkassky,1990,-1
965,The Living Dead Girl,1982,Not Rated,86,5.8,-1,Jean Rollin,1926,-1
966,Dracula: Pages from a Virgin's Diary,2002,Not Rated,73,6.8,84,Guy Maddin,1884,55365
967,Gui da gui,1980,R,102,7.1,-1,Sammo Kam-Bo Hung,1879,-1
968,The Last House on Dead End Street,1973,R,78,5.3,-1,Roger Watkins,1866,-1
969,Dementia,1955,Not Rated,61,6.8,-1,John Parker,1854,-1
970,Stalled,2013,Not Rated,84,4.7,-1,Christian James,1838,-1
971,Rituals,1977,R,100,6.3,-1,Peter Carter,1813,-1
972,The Tell-Tale Heart,1953,Passed,8,7.5,-1,Ted Parmelee,1808,-1
973,Waxworks,1924,Not Rated,107,6.6,-1,Leo Birinsky,1796,-1
974,The Sorcerers,1967,Unrated,86,6.3,-1,Michael Reeves,1740,-1
975,Sugar Hill,1974,PG,91,5.8,-1,Paul Maslansky,1722,30500
976,Ganja & Hess,1973,R,110,6.3,-1,Bill Gunn,1712,21197
977,De dødes tjern,1958,76 min,76,7.1,-1,Kåre Bergstrøm,1711,-1
978,The Blood Spattered Bride,1972,R,82,6.2,-1,Vicente Aranda,1698,-1
979,Requiem for a Vampire,1971,R,65,5.5,-1,Jean Rollin,1694,-1
980,Esta Noite Encarnarei no Teu Cadáver,1967,108 min,108,7.1,-1,José Mojica Marins,1687,-1
981,The Flesh and the Fiends,1960,94 min,94,6.9,-1,John Gilling,1655,-1
982,The Black Room,1935,Unrated,68,7.0,-1,Roy William Neill,1626,-1
983,Baby Blood,1990,R,88,6.0,-1,Alain Robak,1545,-1
984,Sombre,1998,Not Rated,112,6.1,-1,Philippe Grandrieux,1511,-1
985,The White Reindeer,1952,Not Rated,74,7.0,-1,Erik Blomberg,1501,-1
986,Lust of the Vampire,1957,82 min,82,6.6,-1,Riccardo Freda,1451,-1
987,The Awful Dr. Orlof,1962,Approved,90,6.2,-1,Jesús Franco,1409,-1
988,The Queen of Spades,1949,95 min,95,7.2,-1,Thorold Dickinson,1347,-1
989,Il mulino delle donne di pietra,1960,96 min,96,6.6,-1,Giorgio Ferroni,1334,-1
990,Horrors of Malformed Men,1969,Not Rated,99,6.5,-1,Teruo Ishii,1328,-1
991,The Stone Tape,1972,90 min,90,6.6,-1,Peter Sasdy,1271,-1
992,Beauty and the Beast,1978,91 min,91,7.6,-1,Juraj Herz,1167,-1
993,Girly,1970,R,102,6.6,-1,Freddie Francis,1160,-1
994,Blood and Roses,1960,Not Rated,74,6.6,-1,Roger Vadim,1134,-1
995,A Warning to the Curious,1972,50 min,50,7.4,-1,Lawrence Gordon Clark,1045,-1
996,Kitchen Sink,1989,14 min,14,7.2,-1,Alison Maclean,1007,-1
997,El vampiro,1957,95 min,95,7.1,-1,Fernando Méndez,770,-1
998,The Black Pit of Dr. M,1959,71 min,71,6.8,-1,Fernando Méndez,488,-1
999,Dead of Night,1972,50 min,50,7.3,-1,Peter Barkworth,105,-1
