,title,release_year,age_rating,runtime,rating,metascore,director,votes,gross
602,The Keep,1983,R,96,5.8,34,Michael Mann,10895,3758840
603,C.H.U.D.,1984,R,88,5.6,57,Douglas Cheek,10803,4654423
604,Alligator,1980,R,91,6.0,62,Lewis Teague,10758,-1
605,Murder Party,2007,Not Rated,79,5.8,-1,Jeremy Saulnier,10737,-1
606,The Phantom Carriage,1921,Not Rated,107,8.1,-1,Victor Sjöström,10721,-1
607,Monkey Shines,1988,R,113,6.2,71,George A. Romero,10659,5344577
608,The Most Dangerous Game,1932,PG-13,63,7.1,-1,Irving Pichel,10658,965740
609,The Raven,1963,G,86,6.6,-1,Roger Corman,10642,-1
610,Brainscan,1994,R,96,6.1,-1,John Flynn,10625,4264509
611,Wake in Fright,1971,R,109,7.7,85,Ted Kotcheff,10579,50394
612,Black Sabbath,1963,Not Rated,92,7.1,82,Mario Bava,10519,-1
613,The Lodger: A Story of the London Fog,1927,Not Rated,92,7.3,-1,Alfred Hitchcock,10417,-1
614,The Hunchback of Notre Dame,1939,Passed,117,7.8,-1,William Dieterle,10399,3270000
615,I Sell the Dead,2008,Not Rated,85,6.1,62,Glenn McQuaid,10388,7066
616,Motel Hell,1980,R,101,6.0,64,Kevin Connor,10116,6342668
617,Noroi,2005,Not Rated,115,7.0,-1,Kôji Shiraishi,10097,-1
618,The Lair of the White Worm,1988,R,93,5.9,61,Ken Russell,10090,1189315
619,The Uninvited,1944,Passed,99,7.3,-1,Lewis Allen,10031,-1
620,Terror Train,1980,R,97,5.9,-1,Roger Spottiswoode,9989,-1
621,Martin,1977,R,95,7.1,68,George A. Romero,9950,100000
622,Tales from the Crypt,1972,PG,92,7.0,-1,Freddie Francis,9948,1696905
623,Dead & Buried,1981,R,94,6.6,-1,Gary Sherman,9909,216166
624,Begotten,1989,Unrated,72,5.8,-1,E. Elias Merhige,9897,-1
625,When a Stranger Calls,1979,R,97,6.5,58,Fred Walton,9895,21411158
626,Juan of the Dead,2011,Not Rated,92,6.4,-1,Alejandro Brugués,9868,18005
627,Burnt Offerings,1976,PG,116,6.5,48,Dan Curtis,9780,-1
628,Brain Damage,1988,R,84,6.7,-1,Frank Henenlotter,9762,-1
629,Puppet Master,1989,R,90,5.6,-1,David Schmoeller,9736,-1
630,The Curse of Frankenstein,1957,Approved,82,7.1,59,Terence Fisher,9688,17440000
631,The Black Cat,1934,Not Rated,65,7.0,-1,Edgar G. Ulmer,9663,514480
632,"Alice, Sweet Alice",1976,R,107,6.5,67,Alfred Sole,9639,-1
633,Dolls,1987,R,77,6.3,55,Stuart Gordon,9639,-1
634,Theater of Blood,1973,R,104,7.2,-1,Douglas Hickox,9633,-1
635,The Collector,1965,Not Rated,119,7.6,-1,William Wyler,9616,-1
636,The Night Flier,1997,R,94,6.0,36,Mark Pavia,9606,125397
637,The New York Ripper,1982,Not Rated,85,6.4,-1,Lucio Fulci,9592,-1
638,The Prowler,1981,R,89,6.1,45,Joseph Zito,9580,-1
639,The Hound of the Baskervilles,1939,Approved,80,7.5,-1,Sidney Lanfield,9484,-1
640,The Car,1977,PG,96,6.2,-1,Elliot Silverstein,9432,-1
641,Mother of Tears,2007,R,102,5.1,52,Dario Argento,9423,58669
642,The Hound of the Baskervilles,1959,Not Rated,87,7.0,-1,Terence Fisher,9417,-1
643,The Old Dark House,1932,Not Rated,72,7.1,-1,James Whale,9414,25678
644,A Bay of Blood,1971,R,84,6.6,-1,Mario Bava,9376,-1
645,Quatermass and the Pit,1967,Approved,97,7.0,-1,Roy Ward Baker,9348,-1
646,White Zombie,1932,Passed,69,6.3,-1,Victor Halperin,9342,-1
647,Magic,1978,R,107,6.8,49,Richard Attenborough,9340,25942000
648,Lovely Molly,2011,R,99,5.3,50,Eduardo Sánchez,9281,-1
649,Street Trash,1987,Unrated,91,6.1,-1,J. Michael Muro,9274,-1
650,Horror Express,1972,R,88,6.6,68,Eugenio Martín,9272,-1
651,Innocent Blood,1992,R,112,6.2,-1,John Landis,9269,4972818
652,Day of Wrath,1943,Not Rated,110,8.1,-1,Carl Theodor Dreyer,9237,-1
653,Blood and Black Lace,1964,Not Rated,88,7.2,-1,Mario Bava,9235,-1
654,Witchfinder General,1968,Unrated,86,6.8,-1,Michael Reeves,9209,-1
655,Santa's Slay,2005,R,78,5.4,-1,David Steiman,9204,-1
656,The Sentinel,1977,R,92,6.4,-1,Michael Winner,9154,-1
657,Wolfen,1981,R,115,6.3,64,Michael Wadleigh,9128,10626725
658,Dracula,1979,R,109,6.5,67,John Badham,9118,20158970
659,Son of Frankenstein,1939,Approved,99,7.1,-1,Rowland V. Lee,9101,-1
